,precision,recall,f1-score,support
764,0.9552238805970149,0.8421052631578947,0.895104895104895,76.0
765,0.8099173553719008,0.98989898989899,0.8909090909090909,99.0
766,0.7923076923076923,0.9537037037037037,0.865546218487395,108.0
767,0.0,0.0,0.0,39.0
768,0.7857142857142857,0.9041095890410958,0.840764331210191,73.0
769,0.8725490196078431,0.956989247311828,0.9128205128205128,93.0
770,0.9761904761904762,0.640625,0.7735849056603773,64.0
771,0.9217391304347826,0.9814814814814815,0.9506726457399104,108.0
772,0.900990099009901,1.0,0.9479166666666667,91.0
773,0.808695652173913,0.96875,0.8815165876777251,96.0
774,0.9634146341463414,0.9404761904761905,0.9518072289156626,84.0
775,0.8727272727272727,0.9795918367346939,0.923076923076923,98.0
776,0.8842105263157894,0.9438202247191011,0.9130434782608695,89.0
777,0.7410714285714286,0.9764705882352941,0.8426395939086295,85.0
778,0.9791666666666666,0.9038461538461539,0.9400000000000001,52.0
779,0.9230769230769231,0.9473684210526315,0.935064935064935,76.0
780,0.8620689655172413,0.8928571428571429,0.8771929824561403,84.0
781,0.7142857142857143,0.1,0.1754385964912281,50.0
782,0.9325842696629213,0.9764705882352941,0.9540229885057471,85.0
783,0.7657657657657657,1.0,0.8673469387755102,85.0
784,0.8803418803418803,1.0,0.9363636363636364,103.0
785,0.7623762376237624,0.9746835443037974,0.8555555555555555,79.0
786,0.7076923076923077,0.7540983606557377,0.7301587301587301,61.0
787,0.6666666666666666,0.05,0.09302325581395349,40.0
788,1.0,0.3333333333333333,0.5,27.0
789,0.7723577235772358,0.979381443298969,0.8636363636363636,97.0
790,1.0,0.16666666666666666,0.2857142857142857,54.0
791,0.96875,0.9489795918367347,0.9587628865979382,98.0
792,0.9444444444444444,0.3617021276595745,0.5230769230769231,47.0
793,1.0,0.22,0.36065573770491804,50.0
794,0.0,0.0,0.0,5.0
795,1.0,0.6,0.7499999999999999,45.0
796,1.0,0.17391304347826086,0.29629629629629634,23.0
797,0.8526315789473684,0.9418604651162791,0.8950276243093923,86.0
798,1.0,0.4444444444444444,0.6153846153846153,63.0
799,0.8598130841121495,0.989247311827957,0.9199999999999999,93.0
800,1.0,0.29545454545454547,0.456140350877193,44.0
801,0.9239130434782609,0.9340659340659341,0.9289617486338797,91.0
802,0.859375,1.0,0.9243697478991597,110.0
803,0.941747572815534,0.9797979797979798,0.9603960396039605,99.0
804,0.85,1.0,0.9189189189189189,85.0
805,0.953125,0.7721518987341772,0.8531468531468531,79.0
806,0.7317073170731707,0.8823529411764706,0.8,68.0
807,0.96,0.9863013698630136,0.9729729729729729,73.0
808,0.8504672897196262,0.9891304347826086,0.914572864321608,92.0
809,0.9701492537313433,0.9154929577464789,0.9420289855072463,71.0
810,0.9183673469387755,0.989010989010989,0.9523809523809524,91.0
811,0.8518518518518519,0.971830985915493,0.9078947368421053,71.0
812,0.9473684210526315,0.33962264150943394,0.4999999999999999,53.0
813,1.0,0.6285714285714286,0.7719298245614035,70.0
814,0.855072463768116,0.9076923076923077,0.8805970149253731,65.0
815,0.8333333333333334,0.9659090909090909,0.8947368421052632,88.0
816,0.0,0.0,0.0,30.0
817,0.958904109589041,0.9459459459459459,0.9523809523809523,74.0
818,0.925,1.0,0.961038961038961,74.0
819,1.0,0.3076923076923077,0.47058823529411764,26.0
820,1.0,0.5576923076923077,0.7160493827160493,52.0
821,0.9203539823008849,1.0,0.9585253456221198,104.0
822,0.8543689320388349,0.9887640449438202,0.9166666666666666,89.0
823,0.7,0.9506172839506173,0.806282722513089,81.0
824,0.7619047619047619,1.0,0.8648648648648648,96.0
825,1.0,0.1935483870967742,0.3243243243243243,62.0
826,0.0,0.0,0.0,2.0
827,0.7787610619469026,0.9887640449438202,0.8712871287128713,89.0
